coef_d	feat_d	coef_r	feat_r	section	model	acc_d	acc_r	acc_all	recall	f1	support
-2.56934	nytownoftheday	1.88299	miami	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-2.30245	mtpol	1.86055	sc	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-2.20387	sanders	1.84841	hatch	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-2.04692	gopbudget	1.8329	ia03	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.97421	ri	1.82719	mentalhealth	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.88732	memphis	1.81871	obamacare	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.86127	cantwell	1.7611	529plans	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.80647	nh	1.73392	americandreams	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.80082	ranking	1.69841	collins	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.79401	az07	1.64369	tcot	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.76613	confirmlynch	1.63997	oh5	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.73085	wny	1.63878	tx23	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.72816	md	1.63417	sofla	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.67171	murkowski	1.62885	sd	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.59154	rush	1.60675	ny11	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.58199	murray	1.58746	co2	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.5753	netde	1.57319	sasc	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.56257	civilityfridays	1.5672	inhofe	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.56058	peoplesbudget	1.53437	schoolchoice	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.54831	rb	1.51866	smith	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.54514	dontshutdownoursecurity	1.51209	prisoners	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.54344	housedemsinphilly	1.50375	cincinnati	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.50355	mn	1.4745	endtrafficking	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.48658	immigrationden	1.47277	puremichigan	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.48107	progressive	1.43014	arizona	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.46386	buffalo	1.4245	mcconnell	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.44889	immigrationaction	1.42162	ny21	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.4485	nj	1.41832	pa06	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.44565	freecommunitycollege	1.41253	balancedbudget	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.42904	export	1.40017	alexander	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.4261	metro	1.39653	enterprise	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
-1.4248	28pages	1.39155	ally	2015_1q	RidgeClassifier	0.79	0.79	0.79	0.79	0.79	10310
