epoch	train_loss	val_loss	val_acc	f1score	recall	precision	time	
1	165.000	151.387	68.438	68.438	0.684	0.684	2015_1q
2	153.907	147.538	69.688	69.688	0.697	0.697	2015_1q
3	149.186	144.910	70.107	70.107	0.701	0.701	2015_1q
4	145.061	141.623	71.104	71.104	0.711	0.711	2015_1q
5	141.829	138.701	71.914	71.914	0.719	0.719	2015_1q
6	137.540	136.002	72.207	72.207	0.722	0.722	2015_1q
7	133.170	134.025	73.115	73.115	0.731	0.731	2015_1q
8	128.811	130.914	73.555	73.555	0.736	0.736	2015_1q
9	124.493	129.915	74.023	74.023	0.740	0.740	2015_1q
10	120.158	127.600	74.404	74.404	0.744	0.744	2015_1q
11	115.093	127.934	74.678	74.678	0.747	0.747	2015_1q
12	111.467	127.212	74.854	74.854	0.749	0.749	2015_1q
13	108.313	127.545	75.146	75.146	0.751	0.751	2015_1q
14	105.464	127.116	74.561	74.561	0.746	0.746	2015_1q
15	101.487	128.423	75.273	75.273	0.753	0.753	2015_1q
16	100.100	130.268	75.361	75.361	0.754	0.754	2015_1q
17	96.296	133.584	74.980	74.980	0.750	0.750	2015_1q
18	92.642	131.519	75.674	75.674	0.757	0.757	2015_1q
19	90.232	133.696	75.273	75.273	0.753	0.753	2015_1q
20	88.347	136.744	75.352	75.352	0.754	0.754	2015_1q
1	172.778	153.810	67.720	67.720	0.677	0.677	2015_2q
2	156.741	153.053	67.090	67.090	0.671	0.671	2015_2q
3	152.013	146.925	69.070	69.070	0.691	0.691	2015_2q
4	147.897	144.536	69.922	69.922	0.699	0.699	2015_2q
5	143.538	143.643	69.860	69.860	0.699	0.699	2015_2q
6	139.890	138.998	71.396	71.396	0.714	0.714	2015_2q
7	134.518	138.581	71.351	71.351	0.714	0.714	2015_2q
8	131.069	131.865	73.393	73.393	0.734	0.734	2015_2q
9	125.692	132.202	73.597	73.597	0.736	0.736	2015_2q
10	121.802	134.927	72.710	72.710	0.727	0.727	2015_2q
11	118.117	132.914	73.952	73.952	0.740	0.740	2015_2q
12	113.534	133.119	74.130	74.130	0.741	0.741	2015_2q
13	109.994	134.090	74.157	74.157	0.742	0.742	2015_2q
14	107.018	132.058	74.645	74.645	0.746	0.746	2015_2q
15	103.228	134.971	74.734	74.734	0.747	0.747	2015_2q
16	102.269	136.686	74.201	74.201	0.742	0.742	2015_2q
17	99.939	135.927	74.663	74.663	0.747	0.747	2015_2q
18	98.538	132.539	75.639	75.639	0.756	0.756	2015_2q
19	93.946	135.768	75.426	75.426	0.754	0.754	2015_2q
20	91.994	132.632	75.373	75.373	0.754	0.754	2015_2q
1	169.516	151.326	67.035	67.035	0.670	0.670	2015_3q
2	153.805	149.067	68.121	68.121	0.681	0.681	2015_3q
3	149.509	145.121	69.226	69.226	0.692	0.692	2015_3q
4	145.211	143.442	70.027	70.027	0.700	0.700	2015_3q
5	141.707	139.805	70.989	70.989	0.710	0.710	2015_3q
6	138.075	138.867	71.294	71.294	0.713	0.713	2015_3q
7	133.728	135.808	72.180	72.180	0.722	0.722	2015_3q
8	128.549	131.067	74.228	74.228	0.742	0.742	2015_3q
9	125.019	128.091	74.466	74.466	0.745	0.745	2015_3q
10	119.870	127.479	75.391	75.391	0.754	0.754	2015_3q
11	116.704	127.674	74.895	74.895	0.749	0.749	2015_3q
12	113.038	124.765	75.724	75.724	0.757	0.757	2015_3q
13	110.736	123.891	76.048	76.048	0.760	0.760	2015_3q
14	106.578	123.405	76.248	76.248	0.762	0.762	2015_3q
15	103.449	124.347	76.286	76.286	0.763	0.763	2015_3q
16	99.366	122.561	76.963	76.963	0.770	0.770	2015_3q
17	96.405	127.618	76.077	76.077	0.761	0.761	2015_3q
18	94.807	126.325	76.886	76.886	0.769	0.769	2015_3q
19	92.279	129.371	76.458	76.458	0.765	0.765	2015_3q
20	90.290	127.689	76.972	76.972	0.770	0.770	2015_3q
1	165.049	157.355	65.996	65.996	0.660	0.660	2015_4q
2	156.690	153.612	67.217	67.217	0.672	0.672	2015_4q
3	152.555	151.221	67.988	67.988	0.680	0.680	2015_4q
4	149.825	149.052	68.711	68.711	0.687	0.687	2015_4q
5	145.512	147.142	68.926	68.926	0.689	0.689	2015_4q
6	142.141	144.017	69.971	69.971	0.700	0.700	2015_4q
7	138.763	140.701	71.055	71.055	0.711	0.711	2015_4q
8	133.620	138.855	71.885	71.885	0.719	0.719	2015_4q
9	128.753	136.713	72.842	72.842	0.728	0.728	2015_4q
10	124.635	138.772	72.295	72.295	0.723	0.723	2015_4q
11	121.091	135.880	73.018	73.018	0.730	0.730	2015_4q
12	116.492	136.685	73.604	73.604	0.736	0.736	2015_4q
13	113.417	136.160	73.672	73.672	0.737	0.737	2015_4q
14	109.028	139.289	73.633	73.633	0.736	0.736	2015_4q
15	106.944	137.864	73.750	73.750	0.738	0.738	2015_4q
16	103.700	135.555	74.854	74.854	0.749	0.749	2015_4q
17	100.315	133.836	75.029	75.029	0.750	0.750	2015_4q
18	98.106	134.481	74.922	74.922	0.749	0.749	2015_4q
19	97.457	134.956	74.824	74.824	0.748	0.748	2015_4q
20	93.751	139.501	74.922	74.922	0.749	0.749	2015_4q
1	165.494	153.855	66.924	66.924	0.669	0.669	2016_1q
2	156.796	149.042	69.250	69.250	0.692	0.692	2016_1q
3	152.749	145.764	69.595	69.595	0.696	0.696	2016_1q
4	149.237	144.066	70.167	70.167	0.702	0.702	2016_1q
5	145.718	141.902	70.712	70.712	0.707	0.707	2016_1q
6	143.453	141.516	70.912	70.912	0.709	0.709	2016_1q
7	139.205	138.583	72.084	72.084	0.721	0.721	2016_1q
8	134.965	137.920	72.511	72.511	0.725	0.725	2016_1q
9	132.094	137.728	72.011	72.011	0.720	0.720	2016_1q
10	126.795	136.440	72.829	72.829	0.728	0.728	2016_1q
11	122.983	137.132	72.883	72.883	0.729	0.729	2016_1q
12	119.068	134.357	73.919	73.919	0.739	0.739	2016_1q
13	115.287	138.389	72.620	72.620	0.726	0.726	2016_1q
14	111.411	133.067	74.301	74.301	0.743	0.743	2016_1q
15	109.180	131.154	74.673	74.673	0.747	0.747	2016_1q
16	106.135	130.909	74.746	74.746	0.747	0.747	2016_1q
17	103.232	132.428	74.836	74.836	0.748	0.748	2016_1q
18	98.730	134.598	74.846	74.846	0.748	0.748	2016_1q
19	98.379	132.042	75.191	75.191	0.752	0.752	2016_1q
20	96.391	132.992	76.027	76.027	0.760	0.760	2016_1q
1	162.945	151.539	68.201	68.201	0.682	0.682	2016_2q
2	153.672	149.413	68.717	68.717	0.687	0.687	2016_2q
3	150.637	145.932	69.756	69.756	0.698	0.698	2016_2q
4	147.839	144.057	70.221	70.221	0.702	0.702	2016_2q
5	144.300	141.762	70.711	70.711	0.707	0.707	2016_2q
6	140.531	139.191	71.576	71.576	0.716	0.716	2016_2q
7	136.298	137.709	71.900	71.900	0.719	0.719	2016_2q
8	132.996	136.846	72.315	72.315	0.723	0.723	2016_2q
9	128.312	137.017	72.315	72.315	0.723	0.723	2016_2q
10	123.330	139.747	71.917	71.917	0.719	0.719	2016_2q
11	119.746	136.476	72.606	72.606	0.726	0.726	2016_2q
12	115.736	134.368	73.728	73.728	0.737	0.737	2016_2q
13	113.010	137.493	73.595	73.595	0.736	0.736	2016_2q
14	110.143	128.617	75.216	75.216	0.752	0.752	2016_2q
15	106.271	130.349	75.166	75.166	0.752	0.752	2016_2q
16	104.220	129.341	75.175	75.175	0.752	0.752	2016_2q
