time	d_word	d_score	r_word	r_score	
2015_1q	s	475.20591	s	475.20591
2015_1q	today	359.05894	today	359.05894
2015_1q	great	349.64209	great	349.64209
2015_1q	w	304.27468	w	304.27468
2015_1q	bill	261.59969	president	261.59969
2015_1q	new	255.05935	thanks	255.05935
2015_1q	thank	228.93076	house	228.93076
2015_1q	women	220.31751	senate	220.31751
2015_1q	sanders	217.04711	watch	217.04711
2015_1q	thanks	215.28380	obama	215.28380
2015_1q	sen	205.93661	bill	205.93661
2015_1q	time	200.06315	via	200.06315
2015_1q	us	199.76199	thank	199.76199
2015_1q	#dontshutdownoursecurity	198.64276	live	198.64276
2015_1q	congress	196.74564	congress	196.74564
2015_1q	work	191.51237	#sotu	191.51237
2015_1q	act	186.27011	tune	186.27011
2015_1q	health	184.13189	budget	184.13189
2015_1q	house	181.36753	morning	181.36753
2015_1q	#sotu	180.82750	week	180.82750
2015_1q	budget	179.95077	icymi	179.95077
2015_1q	watch	177.09167	new	177.09167
2015_1q	support	176.93862	office	176.93862
2015_1q	families	176.77103	happy	176.77103
2015_1q	th	175.95361	hearing	175.95361
2015_1q	day	174.15679	u	174.15679
2015_1q	hearing	173.74511	support	173.74511
2015_1q	happy	173.39375	us	173.39375
2015_1q	need	173.37343	i	173.37343
2015_1q	proud	168.98664	time	168.98664
2015_1q	t	168.81075	good	168.81075
2015_1q	security	167.92641	rt	167.92641
2015_1q	must	167.86948	read	167.86948
2015_1q	year	166.01305	discuss	166.01305
2015_1q	president	163.15874	day	163.15874
2015_1q	working	162.22769	act	162.22769
2015_1q	funding	161.63343	state	161.63343
2015_1q	i	161.43735	#keystonexl	161.43735
2015_1q	gop	161.16021	meeting	161.16021
2015_1q	americans	160.96214	work	160.96214
2015_1q	good	156.23667	proud	156.23667
2015_1q	news	153.89415	tonight	153.89415
2015_1q	live	151.63798	jobs	151.63798
2015_1q	rt	149.20476	american	149.20476
2015_1q	senate	146.60069	#obamacare	146.60069
2015_1q	help	145.62105	pm	145.62105
2015_1q	vote	144.51705	it	144.51705
2015_1q	join	144.19520	join	144.19520
2015_1q	american	142.31471	help	142.31471
2015_1q	care	140.29910	see	140.29910
2015_2q	s	515.08920	thanks	515.08920
2015_2q	great	418.02384	s	418.02384
2015_2q	today	406.44185	today	406.44185
2015_2q	w	353.37928	thank	353.37928
2015_2q	thanks	303.38216	great	303.38216
2015_2q	day	271.49595	w	271.49595
2015_2q	jobs	270.22737	bill	270.22737
2015_2q	act	256.82513	#tpa	256.82513
2015_2q	women	256.35480	house	256.35480
2015_2q	us	245.30405	happy	245.30405
2015_2q	bill	243.90509	watch	243.90509
2015_2q	need	239.75352	live	239.75352
2015_2q	sen	234.14810	day	234.14810
2015_2q	time	232.75012	via	232.75012
2015_2q	sanders	230.32538	trade	230.32538
2015_2q	must	220.94321	senate	220.94321
2015_2q	thank	213.27709	good	213.27709
2015_2q	new	212.80387	morning	212.80387
2015_2q	families	212.29190	office	212.29190
2015_2q	work	212.04829	click	212.04829
2015_2q	support	209.56740	read	209.56740
2015_2q	proud	208.50643	support	208.50643
2015_2q	good	203.60616	american	203.60616
2015_2q	happy	199.58474	week	199.58474
2015_2q	ndaa	199.07484	us	199.07484
2015_2q	#fy	191.74298	usjobs	191.74298
2015_2q	watch	190.46274	t	190.46274
2015_2q	health	188.28215	see	188.28215
2015_2q	congrats	183.70379	new	183.70379
2015_2q	live	182.01220	time	182.01220
2015_2q	help	180.00020	congress	180.00020
2015_2q	i	177.86829	#ia	177.86829
2015_2q	american	174.05070	meeting	174.05070
2015_2q	house	169.36019	hearing	169.36019
2015_2q	congress	168.97804	act	168.97804
2015_2q	t	167.99758	work	167.99758
2015_2q	right	164.36274	u	164.36274
2015_2q	join	162.75305	students	162.75305
2015_2q	working	159.47090	i	159.47090
2015_2q	vote	159.20580	president	159.20580
2015_2q	students	158.32547	help	158.32547
2015_2q	make	157.08398	one	157.08398
2015_2q	state	153.96184	family	153.96184
2015_2q	via	153.62765	th	153.62765
2015_2q	th	151.78956	#ff	151.78956
2015_2q	news	151.16942	discuss	151.16942
2015_2q	see	149.70438	tax	149.70438
2015_2q	let	149.59907	honor	149.59907
2015_2q	read	148.39163	mcconnell	148.39163
2015_2q	u	145.76678	proud	145.76678
2015_3q	s	470.37438	s	470.37438
2015_3q	today	402.76049	thanks	402.76049
2015_3q	great	376.90850	great	376.90850
2015_3q	w	331.46563	today	331.46563
2015_3q	thanks	280.07839	thank	280.07839
2015_3q	must	253.19588	deal	253.19588
2015_3q	jobs	249.10102	iran	249.10102
2015_3q	work	245.72514	w	245.72514
2015_3q	us	245.36294	#irandeal	245.36294
2015_3q	new	243.02380	live	243.02380
2015_3q	women	242.98377	via	242.98377
2015_3q	th	242.92070	u	242.92070
2015_3q	time	238.92091	watch	238.92091
2015_3q	need	225.32514	house	225.32514
2015_3q	americans	223.23056	happy	223.23056
2015_3q	day	219.71885	day	219.71885
2015_3q	proud	212.34318	morning	212.34318
2015_3q	support	211.56749	bill	211.56749
2015_3q	health	210.80939	#ia	210.80939
2015_3q	happy	208.30810	congress	208.30810
2015_3q	bill	200.61574	senate	200.61574
2015_3q	act	200.38590	time	200.38590
2015_3q	help	199.37419	week	199.37419
2015_3q	vote	197.95566	us	197.95566
2015_3q	good	192.35271	th	192.35271
2015_3q	thank	189.70033	i	189.70033
2015_3q	congress	187.72008	new	187.72008
2015_3q	people	184.70574	office	184.70574
2015_3q	see	174.44814	read	174.44814
2015_3q	watch	171.20785	support	171.20785
2015_3q	right	170.99075	good	170.99075
2015_3q	let	169.52355	en	169.52355
2015_3q	t	167.60636	meeting	167.60636
2015_3q	years	163.31883	president	163.31883
2015_3q	i	162.08581	obama	162.08581
2015_3q	join	162.08472	act	162.08472
2015_3q	read	161.64508	nuclear	161.64508
2015_3q	families	159.28439	see	159.28439
2015_3q	american	157.81606	tune	157.81606
2015_3q	news	155.01331	work	155.01331
2015_3q	congrats	154.55977	people	154.55977
2015_3q	make	154.26554	help	154.26554
2015_3q	live	152.76140	hearing	152.76140
2015_3q	working	151.35439	t	151.35439
2015_3q	via	149.82266	#plannedparenthood	149.82266
2015_3q	one	149.15380	service	149.15380
2015_3q	#exim	146.02138	one	146.02138
2015_3q	students	141.69142	discuss	141.69142
2015_3q	hearing	141.36660	proud	141.36660
2015_3q	#actonclimate	139.83714	icymi	139.83714
2015_4q	s	430.15646	s	430.15646
2015_4q	today	360.04817	thanks	360.04817
2015_4q	w	330.84604	today	330.84604
2015_4q	great	329.43720	thank	329.43720
2015_4q	must	253.46258	great	253.46258
2015_4q	thank	242.50147	happy	242.50147
2015_4q	need	240.34160	bill	240.34160
2015_4q	us	239.21141	w	239.21141
2015_4q	thanks	238.41078	house	238.41078
2015_4q	bill	232.85458	via	232.85458
2015_4q	time	216.63538	u	216.63538
2015_4q	health	208.69150	president	208.69150
2015_4q	new	203.93834	watch	203.93834
2015_4q	good	203.87252	support	203.87252
2015_4q	act	201.02831	senate	201.02831
2015_4q	congress	198.79331	tune	198.79331
2015_4q	work	190.56418	live	190.56418
2015_4q	happy	187.32378	us	187.32378
2015_4q	support	186.33681	i	186.33681
2015_4q	day	179.32864	obama	179.32864
2015_4q	proud	179.18004	help	179.18004
2015_4q	t	178.11769	birthday	178.11769
2015_4q	help	177.03675	veterans	177.03675
2015_4q	watch	172.81285	read	172.81285
2015_4q	women	170.64887	morning	170.64887
2015_4q	jobs	167.87300	week	167.87300
2015_4q	people	165.88908	new	165.88908
2015_4q	read	163.11740	must	163.11740
2015_4q	families	163.11465	time	163.11465
2015_4q	hearing	158.71098	t	158.71098
2015_4q	see	155.80049	good	155.80049
2015_4q	th	152.85055	family	152.85055
2015_4q	join	148.51136	day	148.51136
2015_4q	house	148.29429	#ia	148.29429
2015_4q	let	147.72845	icymi	147.72845
2015_4q	congrats	144.49040	discuss	144.49040
2015_4q	students	144.24777	work	144.24777
2015_4q	americans	142.77888	people	142.77888
2015_4q	live	142.30453	#ff	142.30453
2015_4q	go	140.22433	voted	140.22433
2015_4q	#actonclimate	135.82376	act	135.82376
2015_4q	family	135.43136	american	135.43136
2015_4q	make	135.04163	th	135.04163
2015_4q	news	132.89591	security	132.89591
2015_4q	american	132.68015	christmas	132.68015
2015_4q	year	132.32839	military	132.32839
2015_4q	violence	132.27071	#ndaa	132.27071
2015_4q	right	129.00865	listen	129.00865
2015_4q	one	128.80797	hearing	128.80797
2015_4q	get	126.60866	joining	126.60866
2016_1q	s	486.59155	s	486.59155
2016_1q	try	402.02948	thanks	402.02948
2016_1q	today	367.60928	today	367.60928
2016_1q	w	351.73485	great	351.73485
2016_1q	great	339.11475	happy	339.11475
2016_1q	women	293.86464	thank	293.86464
2016_1q	#sotu	272.12927	w	272.12927
2016_1q	new	264.30879	president	264.30879
2016_1q	work	247.52733	via	247.52733
2016_1q	thanks	245.86625	live	245.86625
2016_1q	must	244.23175	obama	244.23175
2016_1q	need	229.08015	birthday	229.08015
2016_1q	thank	224.35698	help	224.35698
2016_1q	us	220.53011	us	220.53011
2016_1q	happy	219.82240	watch	219.82240
2016_1q	time	209.55115	tune	209.55115
2016_1q	congress	206.20091	week	206.20091
2016_1q	act	204.83910	senate	204.83910
2016_1q	good	201.59120	morning	201.59120
2016_1q	people	201.01175	bill	201.01175
2016_1q	proud	198.31171	i	198.31171
